id,name,duration_ms,popularity,danceability,energy,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,format
1vggFRUI00PuzvqjMtXXLX,"Nothing Else Matters (Live at The Masonic, San Francisco, CA - November 3rd, 2018)",387776,26,0.289,0.614,-8.096,0,0.0309,0.0647,0.000152,0.675,0.141,156.734,3,2
3zPcw0j0aSbO2Sf75Mafwm,"All Within My Hands (Live at The Masonic, San Francisco, CA - November 3rd, 2018)",424318,23,0.369,0.769,-8.212,0,0.0523,0.0428,6.56e-05,0.792,0.195,117.98,4,2
1lsH8yRds1QXWp9cGIRtWb,"Enter Sandman (Live at The Masonic, San Francisco, CA - November 3rd, 2018)",298981,24,0.372,0.597,-8.992,0,0.0415,0.0226,0.000372,0.316,0.144,112.233,4,2
78sr9HLuorNthIHjh9zWzO,"The Four Horsemen (Live at The Masonic, San Francisco, CA - November 3rd, 2018)",212882,24,0.54,0.804,-6.958,1,0.0505,0.0133,0.0218,0.376,0.581,82.298,4,2
1FzfyibQ3SMeZychD5xxlu,"Hardwired (Live at The Masonic, San Francisco, CA - November 3rd, 2018)",260969,25,0.393,0.944,-7.184,1,0.103,0.00739,0.0896,0.746,0.176,95.926,4,2
08ZZqyOaZ4ntAmBY6A32qL,Hardwired,191331,41,0.13,0.991,-3.126,1,0.0604,1.15e-05,0.00412,0.225,0.505,185.364,4,0
1CvoQuE26MBLWQp9UNB8w8,"Atlas, Rise!",388624,39,0.419,0.994,-3.191,0,0.0596,3.28e-05,0.0192,0.0784,0.41,95.571,4,0
2qH3RhOkM7rua2M5PW8T8A,Now That We're Dead,419074,39,0.566,0.951,-3.591,1,0.0464,0.000101,0.103,0.266,0.345,128.304,4,0
6P6qJr6lXMMqAjIFFHZh9r,Moth Into Flame,350644,40,0.169,0.978,-3.37,0,0.0657,3.28e-05,0.00395,0.0567,0.38,179.035,4,0
62r9T6tJ30yaKQHntxrL0y,Dream No More,389597,33,0.505,0.947,-3.476,1,0.0601,6.31e-05,0.00429,0.0628,0.287,97.615,4,0
1SABG47KTubx9SahfMrZRA,Halo On Fire,495016,36,0.328,0.937,-3.261,0,0.0506,1.31e-05,0.00327,0.0627,0.228,124.431,4,0
2tGlwYApuaa31NHzruefEZ,Confusion,401226,32,0.45,0.991,-3.532,1,0.0656,3.06e-05,0.0247,0.126,0.337,122.285,4,0
34o9P9UJfdBtxEY6mSYnjp,ManUNkind,415599,30,0.295,0.941,-4.167,0,0.0461,2.21e-05,0.00535,0.098,0.354,136.404,4,0
5QfiLL8FuqY6xpHUPIVSqX,Here Comes Revenge,437625,32,0.494,0.98,-3.823,0,0.0666,6.38e-05,0.0822,0.136,0.315,131.148,4,0
3XHM0AL05ZyLo422R3Fa4M,Am I Savage?,389662,31,0.295,0.944,-3.66,1,0.0519,2.1e-05,0.000822,0.0735,0.236,144.03,4,0
5ERsNH9ccVcwpkTSfXNIv1,Murder One,345277,31,0.445,0.953,-3.359,1,0.0408,2.17e-05,0.00251,0.108,0.351,107.222,4,0
3ouyKg8HpcxmoubhUCpFlF,Spit Out the Bone,429198,37,0.157,0.987,-3.739,1,0.091,9.25e-06,0.0628,0.151,0.462,167.949,4,0
3wb7zznyd1Ue1UHv6eMUPv,Lords of Summer,430000,35,0.21,0.974,-3.91,1,0.0579,1.18e-05,0.00326,0.279,0.603,164.035,4,0
1BeDcrY6BrZ3xCOlXkYYAr,Ronnie Rising Medley - A Light In the Black / Tarot Woman / Stargazer / Kill the King,543146,31,0.312,0.914,-5.332,1,0.0607,1.13e-05,0.00108,0.0604,0.425,130.126,4,0
4eE0QdkPZ0vXyN9fDbCNzd,When a Blind Man Cries,275013,35,0.367,0.768,-5.798,1,0.0422,0.000349,0.0608,0.11,0.289,135.067,4,0
0rriP85Dczj50b3bz8V912,Remember Tomorrow,350066,32,0.264,0.953,-3.952,0,0.045,6.94e-05,0.308,0.06,0.321,104.152,4,0
3gGCLCvp1iniDou3oQX7fF,"Helpless - Live at Rasputin Music, Berkeley, CA - April 16th, 2016",188013,24,0.283,0.989,-3.89,1,0.117,1.08e-05,0.055,0.842,0.31,142.874,4,0
3wzthRN7j3xMbSoZqL5Oze,"Hit the Lights - Live at Rasputin Music, Berkeley, CA - April 16th, 2016",247000,23,0.2,0.982,-3.381,1,0.132,3.75e-06,0.24,0.425,0.374,154.858,4,0
62gX0I6LuowSBMFdgSQkxl,"The Four Horsemen - Live at Rasputin Music, Berkeley, CA - April 16th, 2016",319240,26,0.315,0.973,-4.387,1,0.0891,6.7e-06,0.00101,0.955,0.333,107.338,4,0
4dr6uMWtxJT3HgkFk9usO0,"Ride the Lightning - Live at Rasputin Music, Berkeley, CA - April 16th, 2016",416360,27,0.255,0.985,-4.574,1,0.113,1.59e-05,0.00657,0.974,0.288,149.345,4,0
1NlC4RUcqTU11CYRCQJuSQ,"Fade to Black - Live at Rasputin Music, Berkeley, CA - April 16th, 2016",444093,30,0.222,0.919,-5.043,0,0.0781,0.000144,0.0106,0.945,0.373,156.394,4,0
3novFzen6wOB45QLjIkavx,"Jump in the Fire - Live at Rasputin Music, Berkeley, CA - April 16th, 2016",313120,24,0.425,0.948,-5.208,1,0.109,0.000143,0.00171,0.855,0.482,85.444,4,0
1rG3nJTZyRjklXf8VMq8cx,"For Whom the Bell Tolls - Live at Rasputin Music, Berkeley, CA - April 16th, 2016",272000,27,0.288,0.966,-4.604,0,0.0818,4.94e-05,0.0026,0.663,0.248,135.702,4,0
6bNGesDZKFasyWYS5BAWxG,"Creeping Death - Live at Rasputin Music, Berkeley, CA - April 16th, 2016",403173,26,0.3,0.986,-4.665,1,0.132,1.14e-05,0.00649,0.386,0.32,113.746,4,0
6hDQ99tIlC1S8OC2CpIMNU,"Metal Militia - Live at Rasputin Music, Berkeley, CA - April 16th, 2016",367480,23,0.184,0.98,-4.504,1,0.132,5.06e-05,0.00333,0.801,0.332,168.406,4,0
6cVHdquegEopMxjVrztawo,"Hardwired - Live at U.S. Bank Stadium, Minneapolis, MN - August 20th, 2016",210080,25,0.113,0.995,-4.662,1,0.113,1.48e-05,0.00993,0.981,0.265,184.213,4,0
7myke8Id4WyKFlWcRBJdIF,Hardwired,191331,59,0.13,0.991,-3.126,1,0.0604,1.15e-05,0.00412,0.225,0.505,185.364,4,0
7uSx9pDbxfFsXPyZ4pOm7H,"Atlas, Rise!",388624,47,0.419,0.994,-3.191,0,0.0596,3.28e-05,0.0192,0.0784,0.41,95.571,4,0
01LODLnhlfNphZ366BqKc0,Now That We're Dead,419074,47,0.566,0.951,-3.591,1,0.0464,0.000101,0.103,0.266,0.345,128.304,4,0
5sEcwMeC3QDnSOWlyQyQ3E,Moth Into Flame,350644,55,0.169,0.978,-3.37,0,0.0657,3.28e-05,0.00395,0.0567,0.38,179.035,4,0
1GHEFTy1XOzIuqW6MUfyHZ,Dream No More,389597,40,0.505,0.947,-3.476,1,0.0601,6.31e-05,0.00429,0.0628,0.287,97.615,4,0
38azNLH2JwH4j8zidhY3Po,Halo On Fire,495016,42,0.328,0.937,-3.261,0,0.0506,1.31e-05,0.00327,0.0627,0.228,124.431,4,0
1yrpGFcLTSafPrbIpc5ov8,Confusion,401226,38,0.45,0.991,-3.532,1,0.0656,3.06e-05,0.0247,0.126,0.337,122.285,4,0
7FPfl1TIBufq9AIgDiiqMh,ManUNkind,415599,36,0.295,0.941,-4.167,0,0.0461,2.21e-05,0.00535,0.098,0.354,136.404,4,0
6R3C89dZ2xt8EKDpgPEMFc,Here Comes Revenge,437625,38,0.494,0.98,-3.823,0,0.0666,6.38e-05,0.0822,0.136,0.315,131.148,4,0
